Allele,Count,AUC,Accuracy,Sensitivity,Specificity
HLA-A01:01,3604,0.802126,0.817703,0.177083,0.533632
HLA-A02:01,10357,0.928179,0.856329,0.834585,0.828178
HLA-A02:02,1695,0.911383,0.830678,0.892897,0.804878
