Allele,Count,AUC,Accuracy,Sensitivity,Specificity
HLA-A01:01,2816,0.780865,0.834162,0.130977,0.562500
HLA-A02:01,6314,0.936123,0.859994,0.814263,0.826923
HLA-A02:02,1695,0.911333,0.848968,0.845645,0.868630
